,X,Backed_Microlith,BipolarTech,BladeTech,Borer,Burin,CentripetalTech,CoreTool,Denticulate,LevalloisBladeTech,LevalloisFlakeTech,LevalloisPointTech,Notch,PlatformCore,PointTech,RTBifacial,Scraper,rowSums.cbdatapa2.,AssID,Site...3,Reported.Industry,Industry,SimpleMethod,SimpleType,N,E,MIN_AGE,MID_AGE,MAX_AGE,newMIS,Ref,Basalts,Cherts,CCS,Obsidians,Metamorphics,Quartzs,Other Igneous,Other Sedimentary
117,Abdur_N_C_S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,Abdur_N_C_S,Abdur,MSA,MSA,1,0,15.12972222,39.68361111,118,125,132,5,Bruggemann 2004; Walter et al. 2000,1,1,0,1,0,1,1,0
118,AdumaA1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,8,AdumaA1,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
119,AdumaA4C,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,5,AdumaA4C,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,0,0,0
120,AdumaA5Ex,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,11,AdumaA5Ex,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
121,AdumaA5ExSurf,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,11,AdumaA5ExSurf,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
122,AdumaA8,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,7,AdumaA8,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
123,AdumaA8AC,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,11,AdumaA8AC,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
124,AdumaA8AG,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,11,AdumaA8AG,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
125,AdumaA8ASurf,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,9,AdumaA8ASurf,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
126,AdumaA8B,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,AdumaA8B,Aduma,MSA,MSA,1,0,10.393,40.537,80,90,100,5,Yellen 2005,1,0,0,0,0,0,0,0
211,AdumaVP1/1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,10,AdumaVP1/1,Aduma,MSA,MSA,0,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
212,AdumaVP1/3,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,9,AdumaVP1/3,Aduma,MSA,MSA,0,0,10.393,40.537,80,90,100,5,Yellen 2005,1,1,0,1,0,1,0,0
41,Enkapune_ya_Muto_RBL4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,Enkapune_ya_Muto_RBL4,Enkapune_ya_Muto,MSA (Endingi),MSA,1,1,0.001388889,36.15,43,45,45,3,Basell 2008,0,0,0,1,0,0,0,0
130,EyasiShore_77_81,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,8,EyasiShore_77_81,Eyasi Shore,MSA (Njarasa/Sangoan),MSA,1,0,-3.540555556,35.28,91,112,132,5,Mehlman 1989,0,1,0,0,1,1,0,0
222,EyasiShore_N_surface,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,5,EyasiShore_N_surface,Eyasi Shore,MSA (Njarasa/Sangoan),MSA,0,0,-3.540555556,35.28,91,112,132,5,Mehlman 1989,1,0,0,0,1,1,0,0
131,EyasiShore_W_insitu,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,EyasiShore_W_insitu,Eyasi Shore,MSA (Njarasa/Sangoan),MSA,1,0,-3.540555556,35.28,91,112,132,5,Mehlman 1989,1,0,0,0,1,1,0,0
223,EyasiShore_W_surf,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,8,EyasiShore_W_surf,Eyasi Shore,MSA (Njarasa/Sangoan),MSA,0,0,-3.540555556,35.28,91,112,132,5,Mehlman 1989,1,0,0,0,1,1,0,0
